경락일시,도매시장,법인,부류,품목,품종,출하지,규격,거래량,경락가
2020-02-28 02:11:18,서울가락,동화청과㈜,과일과채류,토마토,토마토(일반),전라남도 화순군,5kg 상자,36,20500
2020-02-28 02:11:18,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,1,7000
2020-02-28 02:11:18,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,36,13000
2020-02-28 02:11:16,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,50,14000
2020-02-28 02:11:16,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,26,18000
2020-02-28 02:11:14,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 서천군,3kg 상자,16,17000
2020-02-28 02:11:14,서울가락,서울청과㈜,과일과채류,방울토마토,방울토마토,,5kg 상자,23,29000
2020-02-28 02:11:13,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,7,12000
2020-02-28 02:11:13,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,5,20000
2020-02-28 02:11:11,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,8,20000
2020-02-28 02:11:11,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 서천군,3kg 상자,50,18000
2020-02-28 02:11:09,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,3,8000
2020-02-28 02:11:08,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,8,7000
2020-02-28 02:11:07,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,8,13000
2020-02-28 02:11:07,서울가락,서울청과㈜,과일과채류,방울토마토,방울토마토,,5kg 상자,24,31000
2020-02-28 02:11:06,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,13,13000
2020-02-28 02:11:05,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,30,20000
2020-02-28 02:11:05,서울가락,동화청과㈜,과일과채류,토마토,토마토(일반),전라남도 화순군,5kg 상자,4,17000
2020-02-28 02:11:05,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 서천군,3kg 상자,53,19000
2020-02-28 02:11:04,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,16,18000
2020-02-28 02:11:03,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,33,19000
2020-02-28 02:11:02,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,8,20000
2020-02-28 02:11:00,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 부여군,3kg 상자,20,15000
2020-02-28 02:11:00,서울가락,서울청과㈜,과일과채류,방울토마토,방울토마토,,5kg 상자,12,28000
2020-02-28 02:10:59,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,5,7000
2020-02-28 02:10:57,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1.5kg 상자,9,10000
2020-02-28 02:10:56,서울가락,동화청과㈜,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,1,12000
2020-02-28 02:10:56,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 부여군,3kg 상자,41,17000
