경락일시,도매시장,법인,부류,품목,품종,출하지,규격,거래량,경락가
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,몽키,필리핀,5kg 상자,2,30000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,26,25000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,14,10000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,54,29000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,20000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,108,20000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,25000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,54,20000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,29000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,80,12000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,41,10000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,54,29000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,27,20000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,50,25000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,24000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,27,20000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,26,17000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,9,17000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,54,20000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,24000
2020-02-26 16:18:29,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,25,23000
2020-02-26 16:14:45,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,25,64000
2020-02-26 16:14:45,서울가락,서울청과㈜,과실류,포도,포도,페루,8kg 상자,10,60000
2020-02-26 16:14:45,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,54,50000
2020-02-26 16:13:25,서울가락,서울청과㈜,과실류,참다래(키위),참다래(키위),,3kg 상자,54,24000
2020-02-26 16:12:17,서울가락,서울청과㈜,과실류,아보카도,아보카도,멕시코,11kg 상자,11,20000
2020-02-26 16:12:17,서울가락,서울청과㈜,과실류,아보카도,아보카도,멕시코,11kg 상자,1,20000
2020-02-26 16:12:17,서울가락,서울청과㈜,과일과채류,메론,메론,필리핀,5kg 상자,20,35000
2020-02-26 16:12:17,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,75,53000
2020-02-26 16:12:17,서울가락,서울청과㈜,과실류,아보카도,아보카도,멕시코,11kg 상자,1,20000
2020-02-26 16:12:17,서울가락,서울청과㈜,과실류,아보카도,아보카도,멕시코,11kg 상자,4,20000
2020-02-26 16:12:17,서울가락,서울청과㈜,과실류,파인애플,골드,필리핀,12kg 상자,195,21000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,54,21000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,26,20000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,9,17000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,27,17000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,25,25000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,27,20000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,3,12000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,54,29000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,27,20000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,50,25000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,9,17000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,몽키,필리핀,6kg 상자,1,30000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,53,30000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,20000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,54,20000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,25000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,54,20000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,24000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,27,17000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,49,17000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,63,12000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,베트남,13kg 상자,108,20000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,43,10000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,28,10000
2020-02-26 16:08:36,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,27,29000
2020-02-26 16:07:12,서울가락,서울청과㈜,과실류,포도,기타포도,칠레,8kg 상자,25,65000
2020-02-26 16:07:12,서울가락,서울청과㈜,과실류,포도,기타포도,칠레,8kg 상자,90,60000
2020-02-26 16:06:35,서울가락,서울청과㈜,과실류,포도,기타포도,칠레,8kg 상자,108,54000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,93,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,15,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,30,12000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,37,12000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,23,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,2,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,124,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,20,8000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,19,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,5kg 상자,1,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,37,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,37,10000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,96,12000
2020-02-26 15:58:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,2,12000
