경락일시,도매시장,법인,부류,품목,품종,출하지,규격,거래량,경락가
2020-02-27 15:44:58,서울가락,서울청과㈜,과실류,포도,기타포도,칠레,8kg 상자,12,36000
2020-02-27 15:44:58,서울가락,서울청과㈜,과실류,포도,기타포도,칠레,8kg 상자,18,36000
2020-02-27 15:44:58,서울가락,서울청과㈜,과실류,포도,기타포도,칠레,8kg 상자,18,1000
2020-02-27 15:44:58,서울가락,서울청과㈜,과실류,아보카도,아보카도,멕시코,5kg 상자,30,43200
2020-02-27 15:44:58,서울가락,서울청과㈜,과실류,아보카도,아보카도,멕시코,5kg 상자,20,43200
2020-02-27 15:41:54,서울가락,서울청과㈜,과실류,포도,포도,칠레,8kg 상자,50,40000
2020-02-27 15:35:58,서울가락,서울청과㈜,과실류,아보카도,아보카도,멕시코,5kg 상자,20,43200
2020-02-27 15:35:58,서울가락,서울청과㈜,과실류,아보카도,아보카도,멕시코,5kg 상자,10,43200
2020-02-27 15:27:08,서울가락,서울청과㈜,과실류,파인애플,골드,필리핀,12kg 상자,300,21000
2020-02-27 15:27:08,서울가락,서울청과㈜,과실류,파인애플,골드,필리핀,12kg 상자,120,20000
2020-02-27 15:27:08,서울가락,서울청과㈜,과실류,블루베리,하니베리,칠레,1.5kg 상자,50,17000
2020-02-27 15:27:08,서울가락,서울청과㈜,과실류,파인애플,골드,필리핀,12kg 상자,60,21000
2020-02-27 15:27:08,서울가락,서울청과㈜,과실류,파인애플,골드,필리핀,12kg 상자,65,21000
2020-02-27 15:20:53,서울가락,서울청과㈜,과실류,포도,포도,페루,8kg 상자,20,58000
2020-02-27 15:20:53,서울가락,서울청과㈜,과실류,레몬,레몬,미국,17kg 상자,26,50000
2020-02-27 15:20:53,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,99,59000
2020-02-27 15:20:53,서울가락,서울청과㈜,과실류,레몬,레몬,멕시코,4.5kg 상자,5,22000
2020-02-27 15:20:53,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,60,51000
2020-02-27 15:20:53,서울가락,서울청과㈜,과실류,포도,기타포도,칠레,8kg 상자,90,48000
2020-02-27 15:20:53,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,18,42000
2020-02-27 15:20:53,서울가락,서울청과㈜,과실류,포도,포도,페루,8kg 상자,80,57000
2020-02-27 15:17:36,서울가락,서울청과㈜,과실류,포도,기타포도,페루,8kg 상자,114,35000
2020-02-27 15:17:36,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,25,50000
2020-02-27 15:17:36,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,50,53000
2020-02-27 15:17:36,서울가락,서울청과㈜,과실류,포도,기타포도,페루,8kg 상자,114,36000
2020-02-27 15:17:36,서울가락,서울청과㈜,과실류,블루베리,하니베리,칠레,1.5kg 상자,30,16080
2020-02-27 15:17:36,서울가락,서울청과㈜,과실류,레몬,레몬,미국,17kg 상자,10,55000
2020-02-27 15:17:36,서울가락,서울청과㈜,과실류,레몬,레몬,미국,17kg 상자,27,50000
2020-02-27 15:17:36,서울가락,서울청과㈜,과실류,블루베리,하니베리,칠레,1.5kg 상자,50,16080
2020-02-27 15:16:15,서울가락,서울청과㈜,과실류,포도,포도,페루,8kg 상자,1,56000
2020-02-27 14:49:20,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,79,52000
2020-02-27 14:37:39,서울가락,서울청과㈜,과실류,참다래(키위),그린,,10kg 상자,30,17000
2020-02-27 14:37:39,서울가락,서울청과㈜,과실류,참다래(키위),그린,,10kg 상자,30,18000
2020-02-27 14:37:39,서울가락,서울청과㈜,과실류,참다래(키위),그린,,10kg 상자,20,18000
2020-02-27 14:16:01,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,221,52000
2020-02-27 14:16:01,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,100,52000
2020-02-27 14:16:01,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,100,50000
2020-02-27 14:16:01,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,95,50000
2020-02-27 14:16:01,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,50,50000
2020-02-27 12:09:35,서울가락,서울청과㈜,과실류,블루베리,하니베리,칠레,1.5kg 상자,10,22000
2020-02-27 12:09:35,서울가락,서울청과㈜,과실류,블루베리,하니베리,칠레,1.5kg 상자,30,22000
2020-02-27 12:08:59,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,49,50000
2020-02-27 12:08:59,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,50,50000
2020-02-27 12:08:59,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,10,50000
2020-02-27 12:08:59,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,50,50000
2020-02-27 12:08:59,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,150,48000
2020-02-27 12:08:59,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,50,48000
2020-02-27 12:08:59,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,54,42000
2020-02-27 12:08:59,서울가락,서울청과㈜,과실류,오렌지,네블,미국,17kg 상자,40,50000
2020-02-27 12:07:48,서울가락,서울청과㈜,과실류,블루베리,하니베리,칠레,1.5kg 상자,10,22000
