y_test,y_pred
0.3413037043787417,0.25185093
0.6794343659036007,0.25780198
0.34062264012587873,0.3257333
0.20272257667180127,0.30662096
0.18281062907727363,0.27473804
0.1462909174764626,0.24902341
0.21237950860370197,0.22592688
0.17347857555569612,0.22931293
0.22684867662253994,0.22992724
0.2324279757158429,0.23914255
0.19201727473543095,0.24201964
0.16767580715079494,0.23582028
0.25240593564445085,0.22563691
0.18373248006652831,0.23205541
0.164710959254167,0.2321855
0.20971929043068366,0.22382665
0.1785538860689212,0.23090214
0.22105176894349882,0.21688531
0.24699261347725998,0.21402729
0.24517967826409665,0.21992575
0.2503850400421116,0.23410416
0.26089701409189475,0.24958605
0.23205357977630403,0.25604868
0.23515015066714134,0.2517997
0.3510572755881284,0.24551876
0.2091458483894279,0.25655463
0.20799919585325355,0.24482854
0.22888000613671422,0.23124373
0.2352607970281897,0.22304569
0.196308973243487,0.22056973
0.18977506813426337,0.21199767
0.16919452063499374,0.20235631
0.21230076192235836,0.19847618
0.21525009188558997,0.2034754
0.2023821103894809,0.20881817
0.23271883089176865,0.2081773
0.20478686411799718,0.21455477
0.25323730618470836,0.21011159
0.28950261890787043,0.2137372
0.286012425114217,0.23921067
0.21656958107512442,0.25233364
0.19626373688153925,0.2434171
0.19493816708890266,0.23504806
0.1680296227305006,0.22561976
0.1471578469036775,0.22362271
0.22547105767550363,0.21287273
0.2369289478599218,0.21204366
0.2069664731877166,0.21883132
0.2737458984183186,0.21800558
0.2582612959845634,0.2324466
0.2519388710968501,0.24083674
0.3252944239146126,0.24547121
0.4930285248185182,0.2720949
0.28133696676730646,0.31677973
0.30257696828271485,0.3142728
0.27475949929331855,0.3050238
0.22583232265391862,0.29192144
0.26669603299106015,0.27688354
0.28785480605046576,0.2763076
0.26772778128428754,0.2834756
0.30218963076179434,0.28535888
0.3579494025454121,0.29001582
0.30986484212478993,0.3070763
0.2931529259772872,0.31354335
0.2948279461539707,0.31243247
0.29713663978881694,0.31126192
0.3507175252205519,0.3146565
0.27743931222071183,0.3206272
0.2700305724812862,0.3107622
0.32664153062427403,0.30480555
0.37275963384835886,0.3099177
0.30233738030397517,0.31282008
0.35066323081436923,0.3071246
0.3358291958537886,0.31901205
0.2984340204490453,0.3173343
0.2822624115358047,0.30509552
0.3577367290638793,0.29563507
0.27487139011052725,0.30867565
0.37379009904930205,0.30621982
0.2726887259291167,0.32518116
0.37458276725598716,0.30660334
0.32256402113363386,0.30951285
0.2745203631239915,0.3033188
0.3106026942952482,0.2933268
